Name,Address,Latitude,Longitude
Delhi Cantt Police Station,"Sadar Bazar Rd, Sadar Bazaar, Delhi Cantonment, New Delhi, Delhi, 110010",28.5771634,77.1111848
Sagar Pur Police Station,"62, Pankha Rd, D Block, Vashist Park, Sagar Pur, New Delhi, Delhi, 110046",28.6138954,77.2090057
Kapshera Police Station,"D Block, 324, Old Delhi Gurgaon Rd, D Block, Kapas Hera Extension, Kapas Hera Estate, New Delhi, Delhi, 110037",28.6138954,77.2090057
R. K. Puram Police Station,"872, K Block, Police Colony, Sector 12, Rama Krishna Puram, New Delhi, Delhi, 110022",28.5751655,77.1777702
Palam Village Police Station,"WZ01, Palam Village Rd, Puran Nagar, Raj Nagar I, New Delhi, Delhi, 110045",28.569785,77.2001384
Vasant Vihar Police Station,"Nelson Mandela Marg, Basant Lok, Vasant Vihar, New Delhi, Delhi, 110045",28.5602932,77.1628475
Vasant Kunj South Police Station,"Nelson Mandela Marg, Pocket 4, Sector C, Vasant Kunj, New Delhi, Delhi, 110070",28.5292495,77.1541335
South Campus Police Station,"K Block, Police Colony, Sector 12, Rama Krishna Puram, New Delhi, Delhi, 110022",28.5751655,77.1777702
Kishan Garh Police Station,"C-22/23, Udyog Sadan, Qutab Institutional Area, New Delhi, Delhi, 110016",28.6138954,77.2090057
Sarojini Nagar Police Station,"Shri Vinayak Mandir Marg, Block AB, Sarojini Nagar, New Delhi, Delhi, 110023",28.5744778,77.1963144
Safdarjung Enclave Police Station,"Police Headquarters, M.S.O. Building, Sarojini Nagar, New Delhi, Delhi, 110023",28.5744778,77.1963144
Inderpuri Police Station,"Dev Prakash Shastri Marg, Opp. Pusa, Budh Nagar, Inder Puri, Delhi, 110012",28.729945,77.1707212
Moti Nagar Police Station,"near Petrol Pump, Phase 3, Block P, New Moti Nagar, Moti Nagar, Delhi, 110015",28.657859,77.1424288
Naraina Police Station,"Munshi Ram Gupta Marg,Naraina Industrial Area Phase I, Naraina, Delhi, 110028",28.6264562,77.1349668
Punjabi Bagh Police Station,"Block S, Shivaji Park, Punjabi Bagh, Delhi, 110026",28.6750317,77.1304722
Rajouri Garden Police Station,"Vishal Enclave, Vishal Cinema Rd, Shivaji Place, Rajouri Garden, Delhi, 110027",28.6490563,77.1227198
Tilak Nagar Police Station,"Najafgarh Rd, Meenakshi Garden, Ashok Nagar, Delhi, 110027",28.6360207,77.101822
Kirti Nagar Police Station,"N-56,  Kirti Nagar Main Rd, Mansarover Garden, Delhi, 110015",28.6138954,77.2090057
Hari Nagar Police Station,"DDA Market, Jail Road, Janakpuri, Delhi, 110058",28.61794165,77.100459065989
Vikaspuri Police Station,"Guru Virjanand Marg, A-Block, Vikaspuri, Delhi, 110018",28.6275824,77.06870244710908
Mayapuri Police Station,"B-88-5, 86-5, Satguru Ram Singh Rd,  Mayapuri Industrial Area Phase I, Mayapuri, Delhi, 110064",28.6252818,77.1209701
Khyala Police Station,"A Block Rd, NEAR 830, J. J. Colony, Khayala, Vishnu Garden, Delhi, 110027",28.6524333,77.1000592
Janak Puri Police Station,"8, Janakpuri District Center, Janakpuri, Delhi, 110058",28.629282850000003,77.0804828
